objectid,format,filename,parents,has_work_type,local_identifier,title,abstract,utk_photographer,utk_donor,date_created,date_created_d,rights_statement,spatial_local,latitude,longitude,provider,repository,archival_collection,keyword
wcc:324,image/jpeg,wcc_324.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc081 | wcc:324,Chilhowee Range (looking South) near road from Maryville to Cade's Cove,"Photograph taken by William Cox Cochran on Aug 22, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 22, 1886",1886-08-22,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:330,image/jpeg,wcc_330.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc043 | wcc:330,Down Little River below Tuckaleechee Cove,"Photograph taken by William Cox Cochran on Aug 16, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 16, 1886",1886-08-16,http://rightsstatements.org/vocab/NoC-US/1.0/,Little River | Great Smoky Mountains (N.C. and Tenn.),33.70054,-94.23434,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water
wcc:318,image/jpeg,wcc_318.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc076 | wcc:318,Neubern's Mill pond below Little River Gap.,"Photograph taken by William Cox Cochran on Aug 20, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 20, 1886",1886-08-20,http://rightsstatements.org/vocab/NoC-US/1.0/,Little River | Great Smoky Mountains (N.C. and Tenn.),33.70054,-94.23434,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water | Log cabins
wcc:278,image/jpeg,wcc_278.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc051 | wcc:278,Dorsey's cabin in Middle Fork of Little River,"Photograph taken by William Cox Cochran on Aug 18, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 18, 1886",1886-08-18,http://rightsstatements.org/vocab/NoC-US/1.0/,Little River | Great Smoky Mountains (N.C. and Tenn.),33.70054,-94.23434,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Log cabins
wcc:293,image/jpeg,wcc_293.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc019 | wcc:293,Mt. Nebo. Chilhowee R. from Melrose Spring,"Photograph taken by William Cox Cochran on Aug 13, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 13, 1886",1886-08-13,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:287,image/jpeg,wcc_287.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc016 | wcc:287,Auntie Bly - spinning,"Photograph taken by William Cox Cochran on Aug 13, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 13, 1886",1886-08-13,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Handicraft
wcc:286,image/jpeg,wcc_286.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc056 | wcc:286,Bridle path to Robt. Spence's (cascades),"Photograph taken by William Cox Cochran on Aug 18, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 18, 1886",1886-08-18,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Trails | Bodies of water
wcc:292,image/jpeg,wcc_292.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc059 | wcc:292,Giant pines on Scott Mt.,"Photograph taken by William Cox Cochran on Aug 19, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 19, 1886",1886-08-19,http://rightsstatements.org/vocab/NoC-US/1.0/,Blount County (Tenn.) | Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Pine | Oak
wcc:279,image/jpeg,wcc_279.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc012 | wcc:279,Gorge below Spring house Mt. Nebo,"Photograph taken by William Cox Cochran on Aug 12, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 12, 1886",1886-08-12,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:319,image/jpeg,wcc_319.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc032 | wcc:319,Ferry House near Little River Gap. Miller's Cove,"Photograph taken by William Cox Cochran on Aug 14, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 14, 1886",1886-08-14,http://rightsstatements.org/vocab/NoC-US/1.0/,Miller Cove | Little River | Great Smoky Mountains (N.C. and Tenn.),35.18286,-85.98859,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water | Log cabins
